Date,Place
356,"Pella, Greece"
323,"Babylon, Iraq"
338,"Thermopylae, Greece"
336,"Aegae, Greece"
335,"Amphipolis, Greece"
335,"Botev, Bulgaria"
334,"Dardanelles, Turkey"
334,"Sardis, Turkey"
334,"Halicarnassus, Turkey"
334,"Lycia, Turkey"
334,"Termessos, Turkey"
333,"Çukurova, Turkey"
332,"Tyre, Lebanon"
332,"Gaza Strip, Palestine"
332,"Siwa Oasis, Egypt"
331,"Erbil, Iraq"
331,"Arbil, Iraq"
331,"Babylon, Iraq"
331,"Shusha, Iran"
331,"Persepolis, Iran"
330,"Ashgabat, Turkmenistan"
330,"Hamadan, Iran"
330,"Kandahar, Afghanistan"
330,"Aria, Afghanistan"
330,"Zabol, Iran"
330,"Helmand, Afghanistan"
330,"Sistan, Iran"
329,"Khujand, Tajikistan"
329,"Samarkand, Uzbekistan"
327,"Ora, Pakistan"
326,"Bhera, India"
325,"Multan, Pakistan"
324,"Shusha, Iran"
324,"Pasargadae, Iran"
324,"Hamadan, Iran"
323,"Babylon, Iraq"
