Date,Place,Latitude,Longitude
356,"Pella, Greece",40.7602255,22.5275614
323,"Babylon, Iraq",32.54211285,44.4212738332371
338,"Thermopylae, Greece",37.984272,23.716406
336,"Aegae, Greece",40.5959899,24.6776848
335,"Amphipolis, Greece",40.8245807,23.8456693
335,"Botev, Bulgaria",42.6891714,23.3842748
334,"Dardanelles, Turkey",40.2347217,26.4849453
334,"Sardis, Turkey",38.4884366,28.0401460762328
334,"Halicarnassus, Turkey",37.03785995,27.4241280469557
334,"Lycia, Turkey",36.382403,29.1714339
334,"Termessos, Turkey",36.9841843,30.4626334588929
333,"Çukurova, Turkey",37.1006603,35.153311675887
332,"Tyre, Lebanon",33.2721211,35.1964023
332,"Gaza Strip, Palestine",31.4331663,34.3779285
332,"Siwa Oasis, Egypt",29.2034664,25.5192273
331,"Erbil, Iraq",36.5349312,44.2534471
331,"Arbil, Iraq",36.1911416,44.0095648
331,"Babylon, Iraq",32.54211285,44.4212738332371
331,"Shusha, Iran",,
331,"Persepolis, Iran",29.93516685,52.8904041426754
330,"Ashgabat, Turkmenistan",37.9396678,58.3874263
330,"Hamadan, Iran",34.79835,48.514607
330,"Kandahar, Afghanistan",31.6257718,65.7144771
330,"Aria, Afghanistan",34.3508273,62.2164003
330,"Zabol, Iran",31.0277779,61.4948211
330,"Helmand, Afghanistan",31.0,64.0
330,"Sistan, Iran",26.9407662,56.257473
329,"Khujand, Tajikistan",,
329,"Samarkand, Uzbekistan",,
327,"Ora, Pakistan",,
326,"Bhera, India",28.67163075,77.0912912754544
325,"Multan, Pakistan",30.197721,71.4736279
324,"Shusha, Iran",,
324,"Pasargadae, Iran",30.2016523,53.1786632023077
324,"Hamadan, Iran",34.79835,48.514607
323,"Babylon, Iraq",32.54211285,44.4212738332371
