MB_place_name,MB_purpose,new_place_name,place_notes,place_latitude,place_longitude,event_ID,event_date
Indraprastha,Armoury incident exile,New Delhi,,28.6138967,77.2159562,1,01/01/00
Towards Haridwar,Armoury incident exile,Shamli,,29.4483494,77.3087719,2,31/01/00
Towards Haridwar,Armoury incident exile,Deoband,,29.6934924,77.6779885,3,01/03/00
Towards Haridwar,Armoury incident exile,Roorkee,,29.8693989,77.889674,4,31/03/00
Gangadwar,Armoury incident exile,Haridwar,,29.9048547,77.9931330151,5,30/04/00
Towards Himvant,Armoury incident exile,Rishikesh,Haridwar > Gangotri route modern,30.1078741,78.3023052,6,30/05/00
Towards Himvant,Armoury incident exile,New Tehri,,30.37445,78.43277,7,29/06/00
Towards Himvant,Armoury incident exile,Uttarkashi,,30.966485,78.6289831197,8,29/07/00
Towards Himvant,Armoury incident exile,Bhatwari,,30.81116,78.61954,9,28/08/00
Towards Himvant,Armoury incident exile,Harsil,,31.0389691,78.7493824,10,27/09/00
Towards Himvant,Armoury incident exile,Bhaironghati,,31.0275315,78.8682105,11,27/10/00
Towards Himvant,Armoury incident exile,,,,,12,26/11/00
Agastyavat,Armoury incident exile,,,,,13,26/12/00
Vashishthaparvat,Armoury incident exile,,,,,14,25/01/01
Bhrigutunga,Armoury incident exile,Gangotri,,30.9943684,78.9398699,15,24/02/01
Hiranyavindu,Armoury incident exile,Bhaironghati,Gangotri > Haridwar route modern,31.0275315,78.8682105,16,26/03/01
Descent towards east,Armoury incident exile,Harsil,,31.0389691,78.7493824,17,25/04/01
Descent towards east,Armoury incident exile,Bhatwari,,30.81116,78.61954,18,25/05/01
Descent towards east,Armoury incident exile,Uttarkashi,,30.966485,78.6289831197,19,24/06/01
Descent towards east,Armoury incident exile,New Tehri,,30.37445,78.43277,20,24/07/01
Descent towards east,Armoury incident exile,Rishikesh,,30.1078741,78.3023052,21,23/08/01
Descent towards east,Armoury incident exile,Haridwar,,29.9048547,77.9931330151,22,22/09/01
Course of Gomti,Armoury incident exile,Pilibhit,,28.5001417,80.0746146674,23,22/10/01
Naimisharanya,Armoury incident exile,Sitapur,,27.5120034,80.8244071826,24,21/11/01
Gomti joins Ganga,Armoury incident exile,Ghazipur,,25.60240545,83.4987580024,25,21/12/01
Ganga,Armoury incident exile,Patna,,25.609575,85.1238191,26,20/01/02
Kaushiki,Armoury incident exile,Kursela,,25.4491525,87.2558585,27,19/02/02
Vanga,Armoury incident exile,Dildarnagar,,25.4196587,83.6713697,28,21/03/02
Towards the ocean,Armoury incident exile,Farakka,,24.7868983,87.9099061,29,20/04/02
Towards the ocean,Armoury incident exile,Nabadwip,,23.4086684,88.3657991,30,20/05/02
Towards the ocean,Armoury incident exile,Kakdwip,,21.8791446,88.1912992,31,19/06/02
Kalinga,Armoury incident exile,Digha,,21.6243327,87.5095176,32,19/07/02
Mahendra mountain,Armoury incident exile,Gajapati,,19.1889841,84.1854923947,33,18/08/02
Manipura,Armoury incident exile,Kendrapara,,20.5042089,86.4159937,34,17/09/02
Eastern sea coast,Armoury incident exile,Balasore,,21.5017098,86.9216712,35,17/10/02
Eastern sea coast,Armoury incident exile,Puri,,19.8076083,85.8252538,36,16/11/02
