target,value,source
Krishna,1,Aindrastra
Krishna,1,Pragnyastra
Dron,1,Trayambak
Ashwatthama,1,Narayanastra
Bheeshm,1,Prajapatya
Karn,1,Bhargavastra
Dron,1,Antardhan
Ashwatthama,1,Agneyastra
Dron,1,Aindrastra
Satyaki,1,Aindrastra
Arjun,1,Agneyastra
Dron,1,Agneyastra
Arjun,1,Akshisamtarjan
Arjun,1,Antardhan
Krishna,1,Agneyastra
Arjun,1,Ayojaal
Bheeshm,1,Agneyastra
Arjun,1,Asmavarsha
Karn,1,Agneyastra
Yudhishthir,1,Aindrastra
Karn,1,Atharvan
Arjun,1,Adityastra
Arjun,1,Asyamodak
Arjun,1,Indrajaal
Arjun,1,Indrastra
Ashwatthama,1,Ishik
Arjun,1,Aindrastra
Krishna,1,Tvashtr
Arjun,1,Gandharv
Arjun,1,Ghor
Arjun,1,Jyotish
Arjun,1,Tamasastra
Arjun,1,Tvashtr
Arjun,1,Dhaturastra
Krishna,1,Dhaturastra
Arjun,1,Nartan
Arjun,1,Nak
Arjun,1,Nag
Dron,1,Narayanastra
Arjun,1,Parjanyastra
Arjun,1,Parameshthya
Krishna,1,Parameshthya
Arjun,1,Paash
Arjun,1,Pashupat
Dron,1,Pashupat
Karn,1,Pashupat
Arjun,1,Paitamah
Arjun,1,Paurandar
Arjun,1,Prajapatya
Dron,1,Prajapatya
Bheeshm,1,Prasvap
Yudhishthir,1,Mahendrastra
Arjun,1,Brahmashir
Ashwatthama,1,Brahmashir
Dron,1,Brahmastra
Arjun,1,Brahmastra
Bheeshm,1,Brahmastra
Krishna,1,Brahmastra
Ashwatthama,1,Brahmastra
Krip,1,Brahmastra
Karn,1,Brahmastra
Arjun,1,Bhaumastra
Karn,1,Bhaumastra
Arjun,1,Madhav
Arjun,1,Marut
Arjun,1,Yamastra
Bheeshm,1,Yamastra
Dron,1,Yamastra
Yudhishthir,1,Yamastra
Arjun,1,Rudrastra
Krishna,1,Vajra
Arjun,1,Vajra
Bheem,1,Vajra
Karn,1,Vajra
Arjun,1,Vayavyastra
Dron,1,Vayavyastra
Bheeshm,1,Vayavyastra
Karn,1,Vayavyastra
Ashwatthama,1,Vayavyastra
Yudhishthir,1,Vayavyastra
Krishna,1,Vayavyastra
Dron,1,Varunastra
Arjun,1,Varunastra
Krishna,1,Varunastra
Bheeshm,1,Varunastra
Satyaki,1,Varunastra
Shikhandi,1,Varunastra
Yudhishthir,1,Varunastra
Karn,1,Varunastra
Arjun,1,Vishoshan
Arjun,1,Vaishnavastra
Krishna,1,Vaishnavastra
Bhagadatta,1,Vaishnavastra
Karn,1,Shakti
Arjun,1,Sharavarsha
Arjun,1,Sharobaan
Arjun,1,Shuk
Dron,1,Shailastra
Arjun,1,Shailastra
Arjun,1,Samtan
Bheeshm,1,Sambodhan
Arjun,1,Sammohan
Arjun,1,Salilastra
Arjun,1,Sahasragni
Arjun,1,Sadhyastra
Krishna,1,Sudarshan chakra
Arjun,1,Saumyastra
Arjun,1,Saurastra
Arjun,1,Sthunakarn
Karn,1,Sthunakarn
Arjun,1,Kauberastra
